,0
0,0.2391060007310357
1,0.7470617797603301
2,0.6683510640580121
3,0.8389286868776115
4,1.0
5,0.8178104623081084
6,0.7371182604622318
7,0.5993626517866831
8,0.7368295798458023
9,0.4416653253845315
10,0.30525872392149755
11,0.4866845862379016
12,0.39314493856627086
13,0.21821745893669467
14,0.32232406782815987
15,0.9185705054563957
16,0.5233736767725701
17,0.2300877894818768
18,0.32073309992606036
19,0.7151648817984826
20,0.8156544989219136
21,0.40004593752203
22,0.3317691155978065
23,0.0
